neighbourhood_id,neighbourhood_name
1,Agincourt North
2,Agincourt South-Malvern West
3,Alderwood
4,Annex
5,Banbury-Don Mills
6,Bathurst Manor
7,Bay Street Corridor
8,Bayview Village
9,Bayview Woods-Steeles
10,Bedford Park-Nortown
11,Beechborough-Greenbrook
12,Bendale
13,Birchcliffe-Cliffside
14,Black Creek
15,Blake-Jones
16,Briar Hill-Belgravia
17,Bridle Path-Sunnybrook-York Mills
18,Broadview North
19,Brookhaven-Amesbury
20,Cabbagetown-South St.James Town
21,Caledonia-Fairbank
22,Casa Loma
23,Centennial Scarborough
24,Church-Yonge Corridor
25,Clairlea-Birchmount
26,Clanton Park
27,Cliffcrest
28,Corso Italia-Davenport
29,Danforth
30,Danforth East York
31,Don Valley Village
32,Dorset Park
33,Dovercourt-Wallace Emerson-Junction
34,Downsview-Roding-CFB
35,Dufferin Grove
36,East End-Danforth
37,Edenbridge-Humber Valley
38,Eglinton East
39,Elms-Old Rexdale
40,Englemount-Lawrence
41,Eringate-Centennial-West Deane
42,Etobicoke West Mall
43,Flemingdon Park
44,Forest Hill North
45,Forest Hill South
46,Glenfield-Jane Heights
47,Greenwood-Coxwell
48,Guildwood
49,Henry Farm
50,Highland Creek
51,High Park North
52,High Park-Swansea
53,Hillcrest Village
54,Humber Heights-Westmount
55,Humbermede
56,Humber Summit
57,Humewood-Cedarvale
58,Ionview
59,Islington-City Centre West
60,Junction Area
61,Keelesdale-Eglinton West
62,Kennedy Park
63,Kensington-Chinatown
64,Kingsview Village-The Westway
65,Kingsway South
66,Lambton Baby Point
67,L'Amoreaux
68,Lansing-Westgate
69,Lawrence Park North
70,Lawrence Park South
71,Leaside-Bennington
72,Little Portugal
73,Long Branch
74,Malvern
75,Maple Leaf
76,Markland Wood
77,Milliken
78,Mimico (includes Humber Bay Shores)
79,Morningside
80,Moss Park
81,Mount Dennis
82,Mount Olive-Silverstone-Jamestown
83,Mount Pleasant East
84,Mount Pleasant West
85,Newtonbrook East
86,Newtonbrook West
87,New Toronto
88,Niagara
89,North Riverdale
90,North St.James Town
91,Oakridge
92,Oakwood Village
93,O'Connor-Parkview
94,Old East York
95,Palmerston-Little Italy
96,Parkwoods-Donalda
97,Pelmo Park-Humberlea
98,Playter Estates-Danforth
99,Pleasant View
100,Princess-Rosethorn
101,Regent Park
102,Rexdale-Kipling
103,Rockcliffe-Smythe
104,Roncesvalles
105,Rosedale-Moore Park
106,Rouge
107,Runnymede-Bloor West Village
108,Rustic
109,Scarborough Village
110,South Parkdale
111,South Riverdale
112,St.Andrew-Windfields
113,Steeles
114,Stonegate-Queensway
115,Tam O'Shanter-Sullivan
116,Taylor-Massey
117,The Beaches
118,Thistletown-Beaumond Heights
119,Thorncliffe Park
120,Trinity-Bellwoods
121,University
122,Victoria Village
123,Waterfront Communities-The Island
124,West Hill
125,West Humber-Clairville
126,Westminster-Branson
127,Weston
128,Weston-Pellam Park
129,Wexford/Maryvale
130,Willowdale East
131,Willowdale West
132,Willowridge-Martingrove-Richview
133,Woburn
134,Woodbine Corridor
135,Woodbine-Lumsden
136,Wychwood
137,Yonge-Eglinton
138,Yonge-St.Clair
139,Yorkdale-Glen Park
140,York University Heights
